rowID,region,listing_price,model_year,maker,vehicle_model,vehicle_condition,engine_cylinders,fuel_type,mileage,title_status,transmission,drivetrain,vehicle_size,vehicle_type,exterior_color,state,posting_date
D0AA4410,roanoke,7800,2008,rover,hse,like new,8,gas,158625,clean,automatic,4wd,full-size,SUV,grey,va,4/7/2021
F7745D78,detroit metro,6700,2010,lincoln,mks,good,6,gas,145819,clean,automatic,fwd,full-size,sedan,white,mi,4/30/2021
AD36D722,baltimore,5000,2008,mercedes-benz,benz c300,like new,6,gas,203000,clean,automatic,fwd,mid-size,sedan,brown,md,4/9/2021
08138043,wichita,6000,2015,chrysler,200c,good,6,gas,94141,salvage,automatic,fwd,full-size,sedan,black,ks,4/23/2021
30DF2EF6,cedar rapids,7995,2013,kia,soul,good,4,gas,93629,clean,automatic,fwd,full-size,SUV,silver,ia,4/5/2021
1BEB60BB,charlottesville,13599,2014,kia,sorento,excellent,6,gas,111542,clean,automatic,4wd,full-size,SUV,grey,va,4/14/2021
BE1F81A2,los angeles,7500,2004,gmc,serria,excellent,8,gas,136000,clean,automatic,fwd,full-size,truck,brown,ca,5/3/2021
63018AAC,vermont,15995,2016,toyota,prius 2 hybrid,like new,4,hybrid,42582,clean,automatic,fwd,compact,hatchback,silver,vt,4/12/2021
7F2E5A7C,san antonio,7999,2009,ford,econoline,good,8,gas,241023,clean,automatic,rwd,full-size,wagon,white,tx,5/1/2021
9E08EFF2,south florida,4790,2006,toyota,tundra,good,6,gas,300300,clean,automatic,rwd,full-size,truck,white,fl,5/4/2021
0044D72A,maine,14000,1957,ford,fairlane 500,good,8,gas,33000,missing,automatic,rwd,full-size,sedan,custom,me,5/2/2021
D74E1FC0,phoenix,17995,2015,toyota,tacoma,excellent,4,gas,134688,clean,automatic,rwd,mid-size,pickup,white,az,5/4/2021
C861C249,ventura county,5995,2012,chevrolet,cruze,excellent,4,gas,120220,clean,automatic,fwd,compact,sedan,blue,ca,4/12/2021
9FB89862,humboldt county,22995,2019,nissan,altima 2.5 sl,like new,4,gas,38887,clean,automatic,fwd,mid-size,sedan,grey,ca,4/17/2021
994D7EA2,south jersey,9395,2012,kia,forte,excellent,4,gas,104000,clean,automatic,fwd,mid-size,sedan,white,nj,4/16/2021
6F02D1EE,new haven,12495,2015,chrysler,town & country,like new,6,gas,80994,clean,automatic,fwd,full-size,mini-van,white,ct,5/3/2021
